country,year,PES,PES_AES,Re_M1_annual,A_lambda,B,C,valid
UAE,2021,1.9362397923554486,-0.014639562014288598,-0.7560820757887365,-0.004598661390378311,0.04173032888115361,39.39904566634155,True
UAE,2022,3.6208412550488056,-0.025181905907991322,-0.6954711387271767,-0.004598661390378311,0.06985127529825148,21.65076966317965,True
UAE,2023,-0.5250305313806303,,,-0.004598661390378311,,,False
Egypt,1991,-0.518885050680788,,,0.004320736672075245,,,False
Egypt,1992,1.5916288822833897,0.005602164090625739,0.3519767800763164,0.004320736672075245,0.04087180100653924,19.93115377153084,True
Egypt,1993,0.5289130948996471,0.004042135869922412,0.7642344099439141,0.004320736672075245,0.029103128607148254,60.77557978801604,True
Egypt,1994,0.3545932312112476,0.0054530252901759824,1.5378255449347151,0.004320736672075245,0.03816788117393381,93.25051097859523,True
Egypt,1995,0.21743640635513517,0.006502336528056975,2.990454375628716,0.004320736672075245,0.04379460075514866,158.03701218219868,True
Egypt,1996,0.0717115164214198,0.007570905655815758,10.557447441669735,0.004320736672075245,0.04860947256169929,502.66682115835124,True
Egypt,1997,0.44514321190100214,0.00819488958026306,1.8409557556244542,0.004320736672075245,0.05054880610837037,84.28972743348157,True
Egypt,1998,-2.1771349842558467,,,0.004320736672075245,,,False
Egypt,1999,-1.0141875000401026,,,0.004320736672075245,,,False
Egypt,2000,-0.18612136775498575,,,0.004320736672075245,,,False
Egypt,2001,-1.4011676711965793,,,0.004320736672075245,,,False
Egypt,2002,-1.9102228260843552,,,0.004320736672075245,,,False
Egypt,2003,-1.5826300602500112,,,0.004320736672075245,,,False
Egypt,2004,-2.3017505397973257,,,0.004320736672075245,,,False
Egypt,2005,-6.817919015910707,,,0.004320736672075245,,,False
Egypt,2006,8.500885699970237,0.018691684841913556,0.219879263192293,0.004320736672075245,0.06421030971361155,7.925409466478992,True
Egypt,2007,-0.709242869796312,,,0.004320736672075245,,,False
Egypt,2008,2.9968585332199527,0.02167967155369388,0.7234132446819341,0.004320736672075245,0.06682720270298587,25.05390200028148,True
Egypt,2009,-0.44861386217907784,,,0.004320736672075245,,,False
Egypt,2010,4.475638847096034,0.01664082214682437,0.3718088683053945,0.004320736672075245,0.04898111919735234,17.56844166526487,True
Egypt,2011,-3.0451687140475054,,,0.004320736672075245,,,False
Egypt,2012,-1.7283433455743615,,,0.004320736672075245,,,False
Egypt,2013,0.907423242886488,0.008071460333495116,0.8894923506499598,0.004320736672075245,0.02132213669883065,96.55031506721016,True
Egypt,2014,4.749461082660859,0.010513173390145689,0.2213550802327186,0.004320736672075245,0.02848134786432929,17.987514480724574,True
Egypt,2015,3.86851746645156,0.015390246881909904,0.39783320135883415,0.004320736672075245,0.04176476495263067,22.04617162507722,True
Egypt,2016,-0.7433827215047131,,,0.004320736672075245,,,False
Egypt,2017,0.7489279677721208,0.01611551813170963,2.151811499261991,0.004320736672075245,0.04021746566184363,123.83166871959929,True
Egypt,2018,4.498717196794147,0.02036851205223989,0.4527626690282909,0.004320736672075245,0.0505894731289921,20.713460287391324,True
Egypt,2019,8.419711515538934,0.020424774227392334,0.24258282709208684,0.004320736672075245,0.05256244462845892,10.681363587579336,True
Egypt,2020,8.648134472943473,0.01260201422832821,0.14571945276469547,0.004320736672075245,0.03451598870065041,9.771009026787173,True
Egypt,2021,-3.985573783691345,,,0.004320736672075245,,,False
Egypt,2022,2.576207160069684,0.025537578941153778,0.9912859236235882,0.004320736672075245,0.06239344570822805,36.770723049088055,True
