country,year,y,k,l,u,EI
Morocco,2008,1.910403327274621,2.1294655575490675,1.364934821137513,2.0708011013504657,8.176500246350785e-05
Morocco,2009,2.1053288749617147,2.2566193660631764,1.3773585666134238,2.055586923003265,7.364953886361977e-05
Morocco,2010,2.213718733783724,2.3701018503416154,1.397469596205064,2.3016913596433723,7.842937963220731e-05
Morocco,2011,2.379277813028405,2.500955798401566,1.4071784870364739,2.5205192080765704,7.990960599929972e-05
Morocco,2012,2.4615854870299154,2.6326809112162235,1.4074436458196822,2.5866002360036715,7.926263809527398e-05
Morocco,2013,2.612048729725695,2.7623537940158394,1.4272720510795252,2.6272453127048645,7.587059393289407e-05
Morocco,2014,2.7476740509605597,2.8854029612714984,1.439437355290905,2.6992264324111708,7.410171145591015e-05
Morocco,2015,2.8670490217925115,3.0095045216477283,1.4366036616339457,2.636029893798348,6.935365361463447e-05
Morocco,2016,2.8819914073633597,3.161968502510013,1.4249079730473573,2.6225252392815,6.864060893574905e-05
Morocco,2017,3.0277605645512478,3.3121017053589226,1.4333240468726427,2.7563917660941395,6.867102795037904e-05
Morocco,2018,3.120579089684911,3.4626760180503453,1.4625788407687867,2.8267995279926574,6.833039775675995e-05
Morocco,2019,3.210794356836419,3.6105464035230797,1.4640668322270372,3.137668808181461,7.371379017686585e-05
Morocco,2020,2.980316550978331,3.7177020243208467,1.465362091967227,2.9510947948079194,7.469213924800964e-05
Morocco,2021,3.2233550843269527,3.843528153826637,1.4662534456290706,3.3429920020978106,7.823143927691838e-05
Morocco,2022,3.272582096273258,3.9543550988600735,1.4630119375192572,0.9838730824701717,2.2677890897970928e-05
Morocco,2023,3.383959690452444,4.068863516917668,1.4787878469583204,0.9180542808443687,2.0464319689966434e-05
